Beat    Tag    Timestamp    Global_Rate    Window_Rate    Instant_Rate    Global_Accuracy    Window_Accuracy    Instant_Accuracy    Global_Power    Window_Power    Instant_Power
0    0    1527326949297512609    0.000000    0.000000    0.000000    1.000000    1.000000    1.000000    0.000000    0.000000    0.000000
1    1    1527326953058903759    0.531718    0.265859    0.265859    1.000000    1.000000    1.000000    0.793298    0.793298    0.793298
2    2    1527326956838578947    0.397822    0.265214    0.264573    1.000000    1.000000    1.000000    0.820799    0.820799    0.848168
3    3    1527326960616173890    0.353399    0.265049    0.264719    1.000000    1.000000    1.000000    0.812252    0.812252    0.795190
4    4    1527326964388316847    0.331328    0.265062    0.265101    1.000000    1.000000    1.000000    0.808221    0.808221    0.796125
5    5    1527326968167924827    0.317958    0.264965    0.264578    1.000000    1.000000    1.000000    0.816684    0.816684    0.850472
6    6    1527326971917487924    0.309461    0.265252    0.266698    1.000000    1.000000    1.000000    0.813984    0.813984    0.800395
7    7    1527326975660145997    0.303460    0.265527    0.267190    1.000000    1.000000    1.000000    0.812561    0.812561    0.803962
8    8    1527326979424586141    0.298735    0.265542    0.265644    1.000000    1.000000    1.000000    0.811009    0.811009    0.800140
9    9    1527326983190447947    0.295047    0.265542    0.265543    1.000000    1.000000    1.000000    0.809686    0.809686    0.799105
10    10    1527326986933713018    0.292272    0.265702    0.267146    1.000000    1.000000    1.000000    0.814968    0.814968    0.862787
11    11    1527326990706984347    0.289789    0.265640    0.265022    1.000000    1.000000    1.000000    0.813394    0.813394    0.797698
12    12    1527326994510144184    0.287530    0.265413    0.262939    1.000000    1.000000    1.000000    0.811636    0.811636    0.792489
13    13    1527326998285262925    0.285786    0.265372    0.264892    1.000000    1.000000    1.000000    0.814905    0.814905    0.854057
14    14    1527327002046101994    0.284368    0.265410    0.265898    1.000000    1.000000    1.000000    0.813911    0.813911    0.800965
15    15    1527327005812430841    0.283111    0.265417    0.265511    1.000000    1.000000    1.000000    0.812956    0.812956    0.799590
16    16    1527327009574990113    0.282029    0.265439    0.265777    1.000000    1.000000    1.000000    0.812171    0.812171    0.800367
17    17    1527327013372300882    0.280922    0.265315    0.263344    1.000000    1.000000    1.000000    0.814427    0.814427    0.850245
18    18    1527327017154107772    0.280002    0.265265    0.264424    1.000000    1.000000    1.000000    0.813489    0.813489    0.797602
19    19    1527327020963267844    0.279073    0.265120    0.262525    1.000000    1.000000    1.000000    0.812356    0.812356    0.792172
20    20    1527327024765246267    0.278265    0.265014    0.263021    1.000000    1.000000    1.000000    0.814223    0.814223    0.849415
21    21    1527327028570013975    0.277524    0.264909    0.262828    1.000000    1.000000    1.000000    0.813149    0.813149    0.791845
22    22    1527327032342333973    0.276959    0.264917    0.265089    1.000000    1.000000    1.000000    0.812621    0.812621    0.801517
23    23    1527327036132062052    0.276388    0.264872    0.263871    1.000000    1.000000    1.000000    0.814299    0.814299    0.851065
